AnimalName,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,SuggestedTreatment
Dog,Fever,Anoxeria,Weight loss,Lethargy,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Dog,Limping,Willnot run to jump,Swelling ,Week legs,Pain on leg,Yes,Consult a veterinarian for diagnosis and treatment
cat,Fever,Eye ulcer,Congestion,Depression,Pink eye,Yes,Consult a veterinarian for diagnosis and treatment
cat,Pnemonia,Loss of  appetite,Eye disharge,Lameness,Arthritis,Yes,Consult a veterinarian for diagnosis and treatment
cat,Fever,Seizures,Hydrophobia,Jaw is dropped,Shyness or aggression,Yes,Consult a veterinarian for diagnosis and treatment
cat,Bloody Urine,Diffculty breathing,Vomiting,Weight loss,Anorexia,Yes,"Anti-nausea medications, dietary management, and hydration support"
cat,Loss of eat,Difficulty in breathing,Swelling ,Lameness,Neurologic abnormalities,Yes,Consult a veterinarian for diagnosis and treatment
cat,Dark or black face,Diarrhea,Vomiting,Blood in faces,Pain,Yes,Consult a veterinarian for diagnosis and treatment
cat,Jaundice,Difficulty in breathing,Seizuers,Lethargy,Pale gums,Yes,Consult a veterinarian for diagnosis and treatment
cat,Appetite varies,Diarrhea,Vomiting,Weight loss,Pain,Yes,"Anti-nausea medications, dietary management, and hydration support"
cat,Loss of eat,Fell unwell,Lethargy,Weight loss,Skin issue,Yes,Consult a veterinarian for diagnosis and treatment
cat,Sickness,Loss of  appetite,Vomiting,Weight loss,Raised growth or bump,Yes,"Anti-nausea medications, dietary management, and hydration support"
cat,Nasal Bleeding,Diffulty chewing,Swelling ,Weight loss,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
cat,Ulcers,Lesions ,Scabs,Lumps,"Bumps(black,grey or red)",Yes,Consult a veterinarian for diagnosis and treatment
cat,Gasc,Loss of  appetite,Blood in stool,Stomach growling,Black stool,Yes,Consult a veterinarian for diagnosis and treatment
cat,Shaking head,Scartching ear,Black on ear,Bad smell,Red and inflammation ear,Yes,Consult a veterinarian for diagnosis and treatment
cat,Attacks,Loss of  appetite,Coughing,Weight loss,Periodic vommiting,Yes,Consult a veterinarian for diagnosis and treatment
cat,Blood stool,Diarrhea,Coughing,Weight loss,Anemia,Yes,Consult a veterinarian for diagnosis and treatment
cat,Nasal discharge,Nosebleeds,inflamed nostrils,Sneezing,Lound breathing,Yes,Consult a veterinarian for diagnosis and treatment
cat,Polyuria,Loss of  appetite,Vomiting,Weight loss,Polydipsa,Yes,"Anti-nausea medications, dietary management, and hydration support"
cat,Exessive Urination,Change in gait,Vomiting,Weight loss,Inability to jump,Yes,"Anti-nausea medications, dietary management, and hydration support"
cat,Convulsion,Loss of consciousness,chewing,Twitching,Salivating,Yes,Consult a veterinarian for diagnosis and treatment
cat,Wheezing,Rapid Breathing,Coughing,Swallowing,Effort to breath,Yes,Consult a veterinarian for diagnosis and treatment
cat,Jaundice,Weekness,Lethargy,Weight loss,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
cat,Lession on cat skin,Dandruff in cat coat,Red patches,Hair loss,Skin issue,Yes,Consult a veterinarian for diagnosis and treatment
cat,Lethargy,Diarrhea,Vomiting,Discharge from eye,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
cat,Skin irritation,Scartching,Lethargy,Hair loss,Excessive grooming,Yes,Consult a veterinarian for diagnosis and treatment
cat,Floopy muscle,Speech delay,Intellectual disability,Walking problem,Eye movements,Yes,Consult a veterinarian for diagnosis and treatment
cat,Sensitivity to bright light,Disharge from affected eye,Inflammation,Clouded cornea,Rubbing eye,Yes,Consult a veterinarian for diagnosis and treatment
cat,Fever,Diarrhea,Vomiting,Cramps,Dehydration,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
cat,Tenderness,Erythema,Swelling ,Scartch,Pain,Yes,Consult a veterinarian for diagnosis and treatment
cat,Fever,Diarrhea,Vomiting,Salivation,Decrease appetite,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
cat,Scaly patches of skin,Sore,Scabs,Scartch,Hair loss,Yes,Consult a veterinarian for diagnosis and treatment
cat,Fatty stool,Diarrhea,Vomiting,Weight loss,Pain,Yes,"Anti-nausea medications, dietary management, and hydration support"
cat,Nausea,Loss of appetite,Vomiting,Firm,Distended stomach,Yes,Consult a veterinarian for diagnosis and treatment
cat,Fever,Swelling  in the bite area,Lethargy,Limp,Pain,Yes,Consult a veterinarian for diagnosis and treatment
cat,Fever,Loss of appetite,Eyeproblem,Liver disease,Nuerological,Yes,Consult a veterinarian for diagnosis and treatment
cat,Fever,Mild sneezing,Coughing,Nasal,Ocular discharge,Yes,Consult a veterinarian for diagnosis and treatment
Rabbit,Most often none,Sneezing,Nasal Discharge,Dyspnea,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Rabbit,Fever,Diarrhea,Vomiting,Blood from mouth,Shock,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Rabbit,Discomfort,Diarrhea,Dry or dull hair,Grinding teeth,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Rabbit,Loss of appetite,Swelling,Nasal Discharge,Blindness,Lethargy,Yes,Blood tests recommended; supportive care with nutrition and hydration; possible vitamin supplements
Rabbit,Rhinitis,Pneumonia ,abscessess,Torticollis,Septicemia,Yes,Consult a veterinarian for diagnosis and treatment
Rabbit,Fever,Diarrhea,Enteritis,Weight loss,Stomach  cramps,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Rabbit,Immediate death,Difficulty in breathing,Blue colored lip,Bloody discharge,Neurologic abnormalities,Yes,Consult a veterinarian for diagnosis and treatment
Rabbit,Fever,Pox lession on skin,Skin reashes,Nasal discharge,Mortality varies,Yes,Consult a veterinarian for diagnosis and treatment
Rabbit,Red on affected area,Horny growth,Wart-like growth,Red skin,Lesions on ear,Yes,Consult a veterinarian for diagnosis and treatment
Rabbit,Fever,Chills,Skin ulcer,Exhaustion,Swollen and painfull,Yes,Consult a veterinarian for diagnosis and treatment
Rabbit,Watering Diarrhea,Depression,Emaciation,Ruffled Coat,Lethargy,Yes,Consult a veterinarian for diagnosis and treatment
cow,loss in weight,emaciation,loss of appetite,Weakness,diarrhoea,Yes,Consult a veterinarian for diagnosis and treatment
chicken,loss of appetite,diarrhea,swollen purple wattle,Swollen comb,Lameness,Yes,Consult a veterinarian for diagnosis and treatment
chicken,loss of appetite,diarrhea,ruffled feathers,Weight loss,Inability to absorb nutrients,Yes,Consult a veterinarian for diagnosis and treatment
chicken,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling,Yes,Consult a veterinarian for diagnosis and treatment
chicken,loss of appetite,thirst,ruffled feathers,Closed eyes,Diarrhea,Yes,Consult a veterinarian for diagnosis and treatment
cow,Fever,weakened legs,los of the ability to walk,Mammary glads,Fluif filled blisters,Yes,Consult a veterinarian for diagnosis and treatment
cow,Fever,weakened legs,los of the ability to walk,Weight loss,Lameness,Yes,Consult a veterinarian for diagnosis and treatment
cattle, abortion at the end of gestation,Fatigue,weak calves,Join pains,Swelling of internal organs,Yes,Consult a veterinarian for diagnosis and treatment
mammal,swollen,red-colored ,hot udder,Milk getting out more watery,Milk getting out more thick,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Distress,Trembling,Staggering,Convulsion,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Animal become lame,Prostrat,Painfull Swalling,Lameness,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Difficulty in breathing,Dribbling of saliva,Inability of Swalllon Feeding,Moist and painfull,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fluif Faeces on blood and muscle,Sudden Death,Blooody Fluid,Red Diarrhea,Faeces are streake with blood,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Pneumonia ,Stand with head droping,Weight loss,Abnormal behaviour,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Slightly Swollen,Lession on the skin,Milky Hard,Papules appear on teats anad udder,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Dull,Hind quarted soil,Animal stop feed,Decrease in milk production,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Severe,Diarrhea,Blood on faces,Appetite,Milk reduce,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Depression,Relunctance to move,Salivation,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Normal appetite,Diarrhea,Swelling may occur under jaw,Weight loss,Drop in milk production,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Swelling on leg,Heat,Hardness,Redness,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Inability to stand ,Diarrhea,Bottle Jaw,Pot belly,Dry Hair coat,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Excitability,Nervousness,loss of appetite,Hyper sensitivity,Weakness,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Depression,Attack,Bite other animals,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Difficulty in breathing,Coughing,Painfull,Eye become dull,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Ulcer on gum,Red eye,Yellowish Discharge,Bloody Diarrhea,Yes,Consult a veterinarian for diagnosis and treatment
Cattle,Fever,Diarrhea,Coughing,Consistency of milk,Pain,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Cattle,Animal gets uneasy,Difficulty in breathing,Difficult in respiration,Excessive production,Stamping And pedding of hind eye,Yes,Consult a veterinarian for diagnosis and treatment
Horse,Fever,Chills,Severe colic,Weakness,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
Horse,Fever,Body stiffness,Lethargy,Severe inflammation,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Horse,Sickness,Diarrhea,Weight loss,Nausea,Dehydration,Yes,Consult a veterinarian for diagnosis and treatment
Horse,Sudden death,Trouble walking,Paralysis,Depression,Convulsion,Yes,Consult a veterinarian for diagnosis and treatment
Horse,Fever,Abortion,Kidney failure,Inflammation of eye,Eye redness,Yes,Consult a veterinarian for diagnosis and treatment
Horse,Small red bumps,Pneumonia ,Septic Arthritis,Skin infection,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Horse,Fever,Ataxia,Aggressiveness,Depression,Obscure Lameness,Yes,Consult a veterinarian for diagnosis and treatment
Horse,Ring shaped Lesion,Round patches,Dry skin,Size of lesions vary,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Horse,Fever,Diarrhea,loss of appetite,Colic,Weakness,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Horse,Fever,Depression,loss of appetite,Stumbling,Ataxia,Yes,Consult a veterinarian for diagnosis and treatment
Turtle,Bubbles in the mouth,Wheezing,loss of appetite,Lethargy,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Turtle,Changes in outer layer skin,Swelling of eye,loss of appetite,Lethargy,Respiratory infection,Yes,Consult a veterinarian for diagnosis and treatment
Turtle,Red Tinge,Slim over the shell,Bad smell,Easily damage shell,Flaking of the Scutes,Yes,Consult a veterinarian for diagnosis and treatment
Turtle,Passing of undigested food,Diarrhea,Vomiting,Gas or bloating,Dehydration,Yes,Consult a veterinarian for diagnosis and treatment
Hamster,Smell,Diarrhea,loss of appetite,Excess sleeping,Folded Ears,Yes,Consult a veterinarian for diagnosis and treatment
Hamster,Loss of activity,Rough coat,loss of appetite,Weight loss,Eventually death,Yes,Consult a veterinarian for diagnosis and treatment
Hamster,Fever,Diarrhea,Vomiting,Dehydration,Pain,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Hamster,Bald patches,Hair loss,Crusty,Flaky,Red lesion from bald patches,Yes,Consult a veterinarian for diagnosis and treatment
Hamster,Poor condition,Enlarged lymph nodes,Diarrhea,Weight loss,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Hamster,Fever,Chills,Coughing,Progressive weakness,Joint Pain,Yes,Consult a veterinarian for diagnosis and treatment
Hamster,Heavy infection,Diarrhea,Vitamin and minerals defiency,Weight loss,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Fever,Diarrhea,Muscle weakness,Muscle pain,Abdonormal discomfort,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Lion,Fever,Chills,Headache,Nausea,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Thicked skin,Hair tining,Hair loss,Scabbing,Itchiness,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Facial edema,Loss of earing,Vomiting,Head ache,Throat and Ear pain,Yes,Consult a veterinarian for diagnosis and treatment
Lion,General malaise,Hepatic failure,Vomiting,Weight loss,Abdonormal pain,Yes,"Anti-nausea medications, dietary management, and hydration support"
Lion,Upset stomach,Loss of appetite,Nause,Weight loss,Abdonormal pain,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Fever,Muscle Loss,Skeleten pain,Weight loss,Wasting,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Oedema,Swelling of face or leg,Swelling of neck,Weight loss,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Poor growth,Short stature,Enlargement of bones,Lameness,Weigth bearing long bones,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Fever,Chills,Sweat,Head ache,Fatique,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Fever,Loss of appetite,Weakness,Weight loss,Vomitting,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Dullness,Lacrimation,Coughing,Diarrhea,Seizures,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Vomiting,Bloody diarrhea,Lethargy,Dehydration,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Fever,Uncharacteristic hiding,Depression,Dehydration,Stopped eat,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Fever,Poor coat condition,Infection of the skin,Weight loss,Fatique,Yes,Consult a veterinarian for diagnosis and treatment
Lion,Weakness,Stiffness,Trembling,White mark on the muscle,Loss of vitamin E,Yes,Consult a veterinarian for diagnosis and treatment
Fox,Partial Paralysis,Staggering as drunk,Self Mutilation,Acting aggressive,Acting unnaturally tame,Yes,Consult a veterinarian for diagnosis and treatment
Fox,Fever,Tiredness,Headache,Skin rashes,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Fox,Thick Crusting,Itchiness,Hair loss,Watery eye,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Fox ,Constant pacing,Facial muscle twitching,abnormalalities,Blindness,Muscle pain,Yes,Consult a veterinarian for diagnosis and treatment
Fox,Loss od appetite,Wheezing,Seizuers,Skin rashes,Fatique,Yes,Consult a veterinarian for diagnosis and treatment
Fox,Indigestion,Abdminal pain,Constipation,Diarrhea,Nausea,Yes,Consult a veterinarian for diagnosis and treatment
Fox,Blood in urine,Diarrhea,Vomiting,Lethargy,Bleeding in eye and skin,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Malaise,Weakness,Weight loss,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Diarrhea,Vomiting,Stomach cramps,Nausea,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Goat,Fever,Lack of coordination,Depression,Salivation,Facial paralysis,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Sores on lip,Infection,Sores on lower leg and teats,Lesion,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Abortion on late pregancy,Stillbirth,Retained Placenda,Endomeritis,Decrease appetite,Yes,Consult a veterinarian for diagnosis and treatment
Goat,paresis,paralysis,Weakness,Stomach cramps,Diarrhea,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Diarrhea,Swelling,Weight loss,Pain,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Goat,Fever,Hemolytic anemia,Hemoglobinuria,pulmonary congestion,Jaundice,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Abortion ,Mummification,Stillbirth,Weak kids,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Runny nose,Difficulty in breathing,Coughing,Weakness,Loss of appettite,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Nasal discharge,Respiratory distress,Pox lesion,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Dark colored bloody,Incoordination,Difficulty in breathing,Terminal convulsion,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Dysentery,Swelling,Immediate death,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Respiratory distress,Mucous discharge,Reduce feed,Weight gain,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Decreased milk,Holding limbs off the ground,Weight loss,Lameness,Wool production,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Swelling of udder,change in milk,Swollen,Tender to touch,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Respiratory distress,Occular discharge,Mouth lesion,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Wound lesion,Excess salivary,Difficult in walking,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Emaciation,Edema in lower jaw,Coughing,Shivering,Anemia,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Reduce growth,Kid moratality,Weakness,Dullness,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Fever,Reduce growth,Edema in lower jaw,Weight loss,Anemia,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Emaciation,Diarrhea,Kid moratality,Weakness,Anemia,Yes,Consult a veterinarian for diagnosis and treatment
Goat,SkinAllergy,Reduce growth,Wound,Head ache,Dizziness,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Watering of eyes,Redness of white of the eye,Swelling of eyelid,Cornea become cloudy,Tear production,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Berberi,Wasting,Nervous,Weight loss,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
Goat,Gastritis,morbidity,Bloody,Mortality,Anemia,Yes,Consult a veterinarian for diagnosis and treatment
Deer,Fever,Severe headache,Vomiting,Coughing,Fatique,Yes,Consult a veterinarian for diagnosis and treatment
Deer,Fever,Tiredness,Swollen kidney,Hematuria,Muscle aches,Yes,Consult a veterinarian for diagnosis and treatment
Deer,Fever,Diarrhea,Decreased appetite,Vomiting,Bloody,Yes,"Hydration therapy, electrolyte supplements, and fever management (consult vet for antibiotics if needed)"
Deer,Gas,Diarrhea,Abdominal discomfort,Vomiting,Nausea,Yes,Consult a veterinarian for diagnosis and treatment
Deer,Drooping ears,Lack of coordination,Drooling,Wasting,Listlessness,Yes,Consult a veterinarian for diagnosis and treatment
Chicken,Edema,diarrhea,Nasal Discharge,Decresed egg production,Sneezing,Yes,Consult a veterinarian for diagnosis and treatment
Chicken,Drooping wings,Depression,Nasal Discharge,Coughing,Greenish diarrhea,No,Consult a veterinarian for diagnosis and treatment
Chicken,Weakness,Yellow or green dropping,Purplish combs,Wattles,Drop on egg production,No,Consult a veterinarian for diagnosis and treatment
Chicken,Neck paralysis,Diarrhea,ruffled feathers,Labored breathing,Weakness,No,Consult a veterinarian for diagnosis and treatment
Chicken,Facial Swelling,Lacrimation,Diarrhea,Anorexia,Nasal Discharge,No,Consult a veterinarian for diagnosis and treatment
Chicken,loss of appetite,Depression,Paralyzed leg,Weight loss,Anemia,No,Consult a veterinarian for diagnosis and treatment
Chicken,Dejection,Loss of appetite,Slow growth,Diarrhea,Lesion,No,Consult a veterinarian for diagnosis and treatment
Chicken,Severe swellimg,Heavy Breathing,Diarrhea,Weight loss,Pain,No,Consult a veterinarian for diagnosis and treatment
Chicken,Weakness,Diarrhea,High moratality,Dehydration,Anorexia,No,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Hepatitis,Skin rashes,Weight loss,Pain,No,Consult a veterinarian for diagnosis and treatment
Monkey,Sneezing,Epistaxis,Coughing,Difficulty in breathing,Nasal Discharge,No,Consult a veterinarian for diagnosis and treatment
Monkey,Sneezing,Unilateral Nasal discharge,Gagging,Retching,Weight loss,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Depression,Coughing,Weight loss,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Shallow breathing,Halitosis,Coughing,Lethargy,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Dyspnea,Sneezing,Coughing,Difficulty in breathing,Infection,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Dyspnea,Sneezing,Coughing,Difficulty in breathing,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Rhinorrhea,Coughing,Sneezing,Dehydration,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Rhinorrhea,Coughing,Facial edema,Dyspnea,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Rhinorrhea,Coughing,Sneezing,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Mortality,Painfull,Coughing,Weight loss,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Skin rashes,Diarrhea,Death,Facial edema,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Dyspnea,Coughing,Lethargy,Weightloss,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Dyspnea,Coughing,weakness,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Facial edema,Dyspnea,Conjuctivtis,Weakness,Pharyngitis,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Pneumonia ,Congestion,Lethargy,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Death,Coughing,Weight loss,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Sneezing,Convulsion,Seizuers,Weight loss,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Death,Coughing,Dyspnea,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Dyspnea,Difficulty in breathing,Coughing,Lethargy,Nasal Discharge,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Air sacculitis,Halitosis,Coughing,Enteritis,Weight loss,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Convulsion,Sudden death,Urine retention,Weight loss,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Dyspnea,Neurologic sign,Coughing,Depression,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Fever,Dyspnea,Coughing,Lethargy,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Labored breathing,Dyspnea,Coughing,Depression,Anorexia,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Blood from mouth,Diarrhea,Coughing,Lethargy,Weight loss,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Hemopytsis,Diarrhea,Asymptomatic,Death,Epistaxis,Yes,Consult a veterinarian for diagnosis and treatment
Monkey,Restlessness,Weakness,Blue straws,Death,Pain,Yes,Consult a veterinarian for diagnosis and treatment
Birds,Stripped remiges,Less Feather growth,Ruffled feathers,Defienciency in vitamin,Diarrhea,Yes,Consult a veterinarian for diagnosis and treatment
Birds,Apathy,Depression,Dilation of duodenum,Cloacal pasting,Congestion,Yes,Consult a veterinarian for diagnosis and treatment
